id,name,spirit_category,primary_spirit,method,glass,ice,garnish,flavor_profiles,vibes,difficulty,lore,pro_tip,is_classic,source,steps_json,ingredients_json,photo_url,photo_thumb,photo_source,photo_id,has_custom_photo,photo_credit,photo_credit_url
ll-00167,Violet Toddy,gin,Beefeater,shake,coupe,none (served up),pineapple frond,"[""citrusy"", ""herby"", ""refreshing""]","[""Game Night"", ""Date Night""]",hard,"Invented by a hotel bartender in Havana during the 1920s for an expatriate writer, this cocktail became synonymous with Caribbean sophistication.",Stir with ice for at least 30 seconds — most home bartenders under-dilute their stirred drinks.,False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with pineapple frond.""]","[{""name"": ""Beefeater"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""simple syrup"", ""amount"": ""\u00bd oz"", ""notes"": null}]",https://images.unsplash.com/photo-1470337458755-9f97ef3a60db?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1470337458755-9f97ef3a60db?w=400&q=70&fit=crop&auto=format,unsplash,1470337458755-9f97ef3a60db,False,Unsplash,https://unsplash.com/photos/1470337458755-9f97ef3a60db
ll-00168,Gilded Fix,tequila,Jose Cuervo,build,highball,crushed,expressed orange peel,"[""citrusy"", ""sweet"", ""herby"", ""fruity""]","[""Brunch"", ""Cozy Night In""]",hard,"A classic of the 1970s disco scene, this cocktail rode the wave of the fruit liqueur craze that swept American bars.","Toast your spices (cinnamon stick, cardamom) before making the syrup to deepen the flavor profile significantly.",False,liquid_lore_original,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with expressed orange peel.""]","[{""name"": ""Jose Cuervo"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""fresh orange juice"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""grenadine"", ""amount"": ""\u00be oz"", ""notes"": null}]",https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=400&q=70&fit=crop&auto=format,unsplash,1574680096145-d05b474e2155,False,Unsplash,https://unsplash.com/photos/1574680096145-d05b474e2155
ll-00169,The Bartender's Buck,vodka,Absolut,shake,martini,on the rocks,cucumber ribbon,"[""sweet"", ""smoky"", ""savory"", ""bitter"", ""boozy""]","[""Cozy Night In"", ""After Dinner"", ""Late Night""]",easy,"Popularized in Tokyo's bar scene before crossing the Pacific, this drink introduced Western audiences to Japanese whisky culture.",Rinse the glass with absinthe or a peated Scotch before building the drink to add a subtle aromatic backdrop.,False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with cucumber ribbon.""]","[{""name"": ""Absolut"", ""amount"": ""2 oz"", ""notes"": null}, {""name"": ""espresso"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""Kahlua"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""coconut cream"", ""amount"": ""2 dashes"", ""notes"": null}]",https://images.unsplash.com/photo-1609951651490-b1f34bb34b8b?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1609951651490-b1f34bb34b8b?w=400&q=70&fit=crop&auto=format,unsplash,1609951651490-b1f34bb34b8b,False,Unsplash,https://unsplash.com/photos/1609951651490-b1f34bb34b8b
ll-00170,Andean Zenith,gin,Monkey 47,shake,highball,large cube,lemon wedge,"[""herby"", ""light"", ""refreshing"", ""umami""]","[""Brunch"", ""Happy Hour"", ""Game Night""]",easy,"Born in New Orleans in the late 1800s, this is one of the oldest continuously served cocktails in American history.",,False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with lemon wedge.""]","[{""name"": ""Monkey 47"", ""amount"": ""1\u00be oz"", ""notes"": null}, {""name"": ""fresh cucumber juice"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""simple syrup"", ""amount"": ""\u00bd oz"", ""notes"": null}]",https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=400&q=70&fit=crop&auto=format,unsplash,1514362545857-3bc16c4c7d1b,False,Unsplash,https://unsplash.com/photos/1514362545857-3bc16c4c7d1b
ll-00171,The Smoky Nadir,scotch,Glenlivet,stir,rocks,on the rocks,Luxardo cherry,"[""warming"", ""complex"", ""sweet"", ""smoky""]","[""Cozy Night In"", ""Beach Day"", ""Holiday"", ""After Dinner""]",hard,,,False,liquid_lore_original,"[""Combine all ingredients in a mixing glass."", ""Fill with large ice cubes and stir steadily for 30 seconds."", ""Strain into your chilled glass."", ""Garnish with Luxardo cherry.""]","[{""name"": ""Glenlivet"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""Islay Scotch"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""sweet vermouth"", ""amount"": ""\u00be oz"", ""notes"": null}]",https://images.unsplash.com/photo-1607622750671-6cd9a99eabd1?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1607622750671-6cd9a99eabd1?w=400&q=70&fit=crop&auto=format,unsplash,1607622750671-6cd9a99eabd1,False,Unsplash,https://unsplash.com/photos/1607622750671-6cd9a99eabd1
ll-00172,Frosted Marrakech Cascade,amaro,Peach Schnapps,build,highball,on the rocks,grapefruit half-wheel,"[""tropical"", ""bitter"", ""citrusy"", ""refreshing""]","[""Holiday"", ""Late Night"", ""Healthy-ish"", ""Beach Day""]",medium,,"Toast your spices (cinnamon stick, cardamom) before making the syrup to deepen the flavor profile significantly.",False,liquid_lore_original,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with grapefruit half-wheel.""]","[{""name"": ""Peach Schnapps"", ""amount"": ""2 oz"", ""notes"": null}, {""name"": ""coconut water"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""\u00bd oz"", ""notes"": null}]",https://images.unsplash.com/photo-1582106245687-91b5614c0b6b?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1582106245687-91b5614c0b6b?w=400&q=70&fit=crop&auto=format,unsplash,1582106245687-91b5614c0b6b,False,Unsplash,https://unsplash.com/photos/1582106245687-91b5614c0b6b
ll-00173,Jade Blossom,tequila,1800 Silver,shake,rocks,on the rocks,flamed orange peel,"[""sour"", ""citrusy"", ""spicy"", ""refreshing""]","[""Late Night"", ""Beach Day""]",easy,,"When double-straining through a fine mesh, work quickly — the ice continues to dilute in the shaker.",False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with flamed orange peel.""]","[{""name"": ""1800 Silver"", ""amount"": ""2 oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""agave syrup"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1609951651490-b1f34bb34b8b?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1609951651490-b1f34bb34b8b?w=400&q=70&fit=crop&auto=format,unsplash,1609951651490-b1f34bb34b8b,False,Unsplash,https://unsplash.com/photos/1609951651490-b1f34bb34b8b
ll-00174,Electric Smash,amaro,Aperol,build,highball,none (served neat),rosemary sprig,"[""citrusy"", ""bitter"", ""refreshing""]","[""Cozy Night In"", ""Late Night""]",medium,,Add a few drops of saline solution (20:1 water to salt) to enhance perception of sweetness without making the drink saltier.,False,liquid_lore_original,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with rosemary sprig.""]","[{""name"": ""Aperol"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""tonic water"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""fresh lemon juice"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""red wine"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1544145945-f90425340c7e?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400&q=70&fit=crop&auto=format,unsplash,1544145945-f90425340c7e,False,Unsplash,https://unsplash.com/photos/1544145945-f90425340c7e
ll-00175,Golden Atlantic Cobbler,rum,Appleton Estate,build,highball,crushed,Luxardo cherry,"[""refreshing"", ""spicy"", ""smoky"", ""citrusy"", ""umami""]","[""Party Starter"", ""Date Night"", ""Cozy Night In""]",hard,"This drink traces its origins to the Prohibition era, when bartenders had to mask the taste of low-quality bathtub gin with citrus and sweeteners.","Toast your spices (cinnamon stick, cardamom) before making the syrup to deepen the flavor profile significantly.",False,liquid_lore_original,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with Luxardo cherry.""]","[{""name"": ""Appleton Estate"", ""amount"": ""1\u00be oz"", ""notes"": null}, {""name"": ""ginger beer"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""aquafaba"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1544145945-f90425340c7e?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400&q=70&fit=crop&auto=format,unsplash,1544145945-f90425340c7e,False,Unsplash,https://unsplash.com/photos/1544145945-f90425340c7e
ll-00176,The Azure Stinger,gin,Beefeater,stir,rocks,none (served neat),rosemary sprig,"[""complex"", ""bitter"", ""boozy"", ""herby""]","[""Late Night"", ""Beach Day"", ""After Dinner"", ""Date Night""]",medium,The recipe was scrawled on a cocktail napkin by its creator and passed between bartenders for years before being formally documented.,Add a few drops of saline solution (20:1 water to salt) to enhance perception of sweetness without making the drink saltier.,False,liquid_lore_original,"[""Combine all ingredients in a mixing glass."", ""Fill with large ice cubes and stir steadily for 30 seconds."", ""Strain into your chilled glass."", ""Garnish with rosemary sprig.""]","[{""name"": ""Beefeater"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""Campari"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""sweet vermouth"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1551538827-9c037cb4f32a?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1551538827-9c037cb4f32a?w=400&q=70&fit=crop&auto=format,unsplash,1551538827-9c037cb4f32a,False,Unsplash,https://unsplash.com/photos/1551538827-9c037cb4f32a
ll-00177,Ember Glow,tequila,Casamigos Blanco,shake,highball,crushed,lemon twist,"[""warming"", ""citrusy"", ""refreshing"", ""fruity""]","[""After Dinner"", ""Holiday""]",hard,,"For a richer texture, substitute a small amount of the simple syrup with honey syrup (1:1 honey to warm water).",False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with lemon twist.""]","[{""name"": ""Casamigos Blanco"", ""amount"": ""1\u00be oz"", ""notes"": null}, {""name"": ""watermelon juice"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""butterfly pea flower tea"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1560963805-6c64f2785b9c?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1560963805-6c64f2785b9c?w=400&q=70&fit=crop&auto=format,unsplash,1560963805-6c64f2785b9c,False,Unsplash,https://unsplash.com/photos/1560963805-6c64f2785b9c
ll-00178,Hazy Blossom,vodka,Finlandia,shake,highball,none (served neat),orange wheel,"[""warming"", ""citrusy"", ""refreshing"", ""fruity""]","[""After Dinner"", ""Date Night"", ""Healthy-ish""]",easy,"Originally a digestif meant to be sipped slowly after a long Italian dinner, this formula was adapted for the American palate by shortening it and adding ice.","When double-straining through a fine mesh, work quickly — the ice continues to dilute in the shaker.",False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with orange wheel.""]","[{""name"": ""Finlandia"", ""amount"": ""1\u00be oz"", ""notes"": null}, {""name"": ""watermelon juice"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1582106245687-91b5614c0b6b?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1582106245687-91b5614c0b6b?w=400&q=70&fit=crop&auto=format,unsplash,1582106245687-91b5614c0b6b,False,Unsplash,https://unsplash.com/photos/1582106245687-91b5614c0b6b
ll-00179,Rosy Istanbul Fix,amaro,Campari,build,highball,none (served up),star anise,"[""warming"", ""refreshing"", ""citrusy"", ""bitter"", ""fruity""]","[""Brunch"", ""Summer Patio""]",medium,"A tiki bar staple from the golden age of Polynesian-themed restaurants, this cocktail was engineered to transport you to a tropical island without leaving your barstool.",Add a few drops of saline solution (20:1 water to salt) to enhance perception of sweetness without making the drink saltier.,False,liquid_lore_original,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with star anise.""]","[{""name"": ""Campari"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""club soda"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""fresh orange juice"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""apple juice"", ""amount"": ""\u00bd oz"", ""notes"": null}]",https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=400&q=70&fit=crop&auto=format,unsplash,1514362545857-3bc16c4c7d1b,False,Unsplash,https://unsplash.com/photos/1514362545857-3bc16c4c7d1b
ll-00180,Scarlet Istanbul Julep,whiskey_bourbon,Knob Creek,shake,coupe,none (served neat),grapefruit half-wheel,"[""warming"", ""sweet"", ""savory"", ""citrusy"", ""floral""]","[""Holiday"", ""Cozy Night In"", ""After Dinner"", ""Summer Patio""]",hard,"A house original from a legendary bar that no longer exists, kept alive through oral tradition among bartenders who worked there.","Dry shake first (no ice) for 15 seconds to fully emulsify the egg white, then shake with ice for texture.",False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with grapefruit half-wheel.""]","[{""name"": ""Knob Creek"", ""amount"": ""1\u00be oz"", ""notes"": null}, {""name"": ""honey syrup"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""fresh lemon juice"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1571950006183-5cbf100a9bf1?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1571950006183-5cbf100a9bf1?w=400&q=70&fit=crop&auto=format,unsplash,1571950006183-5cbf100a9bf1,False,Unsplash,https://unsplash.com/photos/1571950006183-5cbf100a9bf1
ll-00181,Amber Daisy,whiskey_bourbon,Maker's Mark,stir,rocks,none (served neat),cinnamon stick,"[""warming"", ""complex"", ""bitter"", ""earthy""]","[""Cozy Night In"", ""Happy Hour"", ""Party Starter""]",medium,"A riff on a Prohibition-era sour, updated with modern syrups and techniques for a cleaner, more vibrant result.",Batch the base mix a day ahead and store in the fridge — the flavors meld and the drink becomes more cohesive.,False,liquid_lore_original,"[""Combine all ingredients in a mixing glass."", ""Fill with large ice cubes and stir steadily for 30 seconds."", ""Strain into your chilled glass."", ""Garnish with cinnamon stick.""]","[{""name"": ""Maker's Mark"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""Campari"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""sweet vermouth"", ""amount"": ""\u00be oz"", ""notes"": null}]",https://images.unsplash.com/photo-1598514982901-4f08e43cf5e8?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1598514982901-4f08e43cf5e8?w=400&q=70&fit=crop&auto=format,unsplash,1598514982901-4f08e43cf5e8,False,Unsplash,https://unsplash.com/photos/1598514982901-4f08e43cf5e8
ll-00182,Lazy Highball,vodka,Absolut,shake,martini,none (served neat),tajin rim,"[""bitter"", ""boozy"", ""sweet""]","[""Late Night"", ""Brunch"", ""After Dinner"", ""Party Starter""]",medium,"A riff on a Prohibition-era sour, updated with modern syrups and techniques for a cleaner, more vibrant result.","For a richer texture, substitute a small amount of the simple syrup with honey syrup (1:1 honey to warm water).",False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with tajin rim.""]","[{""name"": ""Absolut"", ""amount"": ""1\u00be oz"", ""notes"": null}, {""name"": ""espresso"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""Kahlua"", ""amount"": ""\u00be oz"", ""notes"": null}]",https://images.unsplash.com/photo-1551538827-9c037cb4f32a?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1551538827-9c037cb4f32a?w=400&q=70&fit=crop&auto=format,unsplash,1551538827-9c037cb4f32a,False,Unsplash,https://unsplash.com/photos/1551538827-9c037cb4f32a
ll-00183,Dark Brooklyn Blaze,tequila,Patron Silver,shake,rocks,crushed,grapefruit wheel,"[""bitter"", ""boozy"", ""herby"", ""sweet""]","[""Holiday"", ""Beach Day"", ""Game Night"", ""Summer Patio""]",medium,"A classic of the 1970s disco scene, this cocktail rode the wave of the fruit liqueur craze that swept American bars.","Build directly in the glass and add the carbonated ingredient last, giving only one gentle stir to preserve the bubbles.",False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with grapefruit wheel.""]","[{""name"": ""Patron Silver"", ""amount"": ""2 oz"", ""notes"": null}, {""name"": ""cold brew coffee"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""simple syrup"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1609951651490-b1f34bb34b8b?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1609951651490-b1f34bb34b8b?w=400&q=70&fit=crop&auto=format,unsplash,1609951651490-b1f34bb34b8b,False,Unsplash,https://unsplash.com/photos/1609951651490-b1f34bb34b8b
ll-00184,Marrakech Spark,rum,Mount Gay,shake,rocks,on the rocks,chili flakes on rim,"[""bitter"", ""citrusy"", ""sweet"", ""spicy""]","[""Party Starter"", ""Game Night"", ""Holiday"", ""Beach Day""]",easy,"A riff on a Prohibition-era sour, updated with modern syrups and techniques for a cleaner, more vibrant result.",Always use fresh-squeezed juice — the difference between bottled and fresh is night and day in this drink.,False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with chili flakes on rim.""]","[{""name"": ""Mount Gay"", ""amount"": ""2 oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""falernum"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1563227812-0ea4c22e6cc8?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1563227812-0ea4c22e6cc8?w=400&q=70&fit=crop&auto=format,unsplash,1563227812-0ea4c22e6cc8,False,Unsplash,https://unsplash.com/photos/1563227812-0ea4c22e6cc8
ll-00185,Pacific Storm,amaro,Creme de Menthe,build,wine glass,large cube,smoked with wood chip,"[""refreshing"", ""sweet"", ""savory"", ""bitter"", ""umami""]","[""Cozy Night In"", ""Happy Hour""]",easy,"Invented by a hotel bartender in Havana during the 1920s for an expatriate writer, this cocktail became synonymous with Caribbean sophistication.",Chill your glass in the freezer for 10 minutes before serving. A cold glass keeps the drink cold longer without diluting it.,False,liquid_lore_original,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with smoked with wood chip.""]","[{""name"": ""Creme de Menthe"", ""amount"": ""2 oz"", ""notes"": null}, {""name"": ""Prosecco"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""club soda"", ""amount"": ""\u00bd oz"", ""notes"": null}]",https://images.unsplash.com/photo-1560963805-6c64f2785b9c?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1560963805-6c64f2785b9c?w=400&q=70&fit=crop&auto=format,unsplash,1560963805-6c64f2785b9c,False,Unsplash,https://unsplash.com/photos/1560963805-6c64f2785b9c
ll-00186,Rosario's Royale,vodka,Ciroc,shake,coupe,large cube,chocolate shavings,"[""tropical"", ""sweet"", ""fruity""]","[""Holiday"", ""Cozy Night In"", ""Beach Day"", ""Game Night""]",easy,,Batch the base mix a day ahead and store in the fridge — the flavors meld and the drink becomes more cohesive.,False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with chocolate shavings.""]","[{""name"": ""Ciroc"", ""amount"": ""1\u00be oz"", ""notes"": null}, {""name"": ""passion fruit juice"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""simple syrup"", ""amount"": ""\u00bc oz"", ""notes"": null}]",https://images.unsplash.com/photo-1575023782549-62ca0d244787?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1575023782549-62ca0d244787?w=400&q=70&fit=crop&auto=format,unsplash,1575023782549-62ca0d244787,False,Unsplash,https://unsplash.com/photos/1575023782549-62ca0d244787
ll-00187,Copper Shanghai Spark,whiskey_rye,High West,stir,coupe,none (served neat),coffee beans (3),"[""warming"", ""bitter"", ""boozy""]","[""Happy Hour"", ""Healthy-ish"", ""After Dinner""]",medium,"A riff on a Prohibition-era sour, updated with modern syrups and techniques for a cleaner, more vibrant result.",,False,liquid_lore_original,"[""Combine all ingredients in a mixing glass."", ""Fill with large ice cubes and stir steadily for 30 seconds."", ""Strain into your chilled glass."", ""Garnish with coffee beans (3).""]","[{""name"": ""High West"", ""amount"": ""2 oz"", ""notes"": null}, {""name"": ""sweet vermouth"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""Angostura bitters"", ""amount"": ""\u00bd oz"", ""notes"": null}]",https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=400&q=70&fit=crop&auto=format,unsplash,1514362545857-3bc16c4c7d1b,False,Unsplash,https://unsplash.com/photos/1514362545857-3bc16c4c7d1b
ll-00188,Citrus Ember,tequila,Jose Cuervo,shake,rocks,large cube,brandied cherry,"[""citrusy"", ""bitter"", ""refreshing"", ""sweet""]","[""Late Night"", ""Game Night"", ""Party Starter"", ""Brunch""]",medium,"Born in New Orleans in the late 1800s, this is one of the oldest continuously served cocktails in American history.",Rinse the glass with absinthe or a peated Scotch before building the drink to add a subtle aromatic backdrop.,False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with brandied cherry.""]","[{""name"": ""Jose Cuervo"", ""amount"": ""1\u00be oz"", ""notes"": null}, {""name"": ""Campari"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""fresh grapefruit juice"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""peach puree"", ""amount"": ""1 dash"", ""notes"": null}]",https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=400&q=70&fit=crop&auto=format,unsplash,1574680096145-d05b474e2155,False,Unsplash,https://unsplash.com/photos/1574680096145-d05b474e2155
ll-00189,Spiced New Orleans Swizzle,rum,Havana Club,shake,rocks,on the rocks,expressed orange peel,"[""sweet"", ""herby"", ""savory"", ""citrusy"", ""spicy""]","[""Holiday"", ""After Dinner"", ""Happy Hour""]",medium,,Muddle herbs with syrup rather than citrus — the sugar helps extract essential oils without releasing bitter chlorophyll.,False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with expressed orange peel.""]","[{""name"": ""Havana Club"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""1 oz"", ""notes"": null}, {""name"": ""falernum"", ""amount"": ""\u00bc oz"", ""notes"": null}, {""name"": ""club soda"", ""amount"": ""2 dashes"", ""notes"": null}]",https://images.unsplash.com/photo-1626196340347-9ac5e8a2c6c8?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1626196340347-9ac5e8a2c6c8?w=400&q=70&fit=crop&auto=format,unsplash,1626196340347-9ac5e8a2c6c8,False,Unsplash,https://unsplash.com/photos/1626196340347-9ac5e8a2c6c8
ll-00190,Tokyo Dusk,rum,Mount Gay,build,highball,large cube,dusting of nutmeg,"[""citrusy"", ""sweet"", ""refreshing""]","[""Date Night"", ""Beach Day"", ""Late Night"", ""Brunch""]",medium,"Popularized in Tokyo's bar scene before crossing the Pacific, this drink introduced Western audiences to Japanese whisky culture.",Use large-format ice. A single 2-inch cube melts far slower than cracked ice and keeps the drink from becoming watered-down.,False,liquid_lore_original,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with dusting of nutmeg.""]","[{""name"": ""Mount Gay"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""cola"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""\u00bc oz"", ""notes"": null}, {""name"": ""matcha syrup"", ""amount"": ""2 dashes"", ""notes"": null}]",https://images.unsplash.com/photo-1605270012917-bf157c5a9541?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1605270012917-bf157c5a9541?w=400&q=70&fit=crop&auto=format,unsplash,1605270012917-bf157c5a9541,False,Unsplash,https://unsplash.com/photos/1605270012917-bf157c5a9541
